Slice,Mean
1,52.38285714285714
2,52.434285714285714
3,52.63428571428572
4,52.901428571428575
5,52.575714285714284
6,52.84428571428571
7,52.13285714285714
8,52.22142857142857
9,52.22142857142857
10,51.88
11,51.887142857142855
12,51.854285714285716
13,51.88142857142857
14,51.137142857142855
15,51.63428571428572
16,51.47142857142857
17,120.75285714285714
18,120.93571428571428
19,120.91285714285715
20,120.92857142857143
21,120.78
22,120.23285714285714
23,119.98571428571428
24,120.04142857142857
25,119.72
26,48.38857142857143
27,48.32
28,48.48428571428571
29,48.23285714285714
30,47.92857142857143
31,47.754285714285714
32,47.68714285714286
33,47.941428571428574
34,47.73714285714286
35,46.88285714285714
36,46.92142857142857
37,46.42142857142857
38,46.59571428571429
39,46.151428571428575
40,46.16
41,45.94571428571429
42,45.69285714285714
43,45.42857142857143
44,45.48285714285714
45,44.87714285714286
46,114.03714285714285
47,113.92
48,113.91428571428571
49,113.28857142857143
50,112.96714285714286
51,112.72
52,112.70857142857143
53,112.67142857142858
54,112.08714285714285
55,42.38857142857143
56,42.41285714285714
57,42.21142857142857
58,41.128571428571426
59,41.135714285714286
60,41.27285714285714
61,41.14857142857143
62,41.38428571428572
63,41.191428571428574
64,41.08
65,41.527142857142856
66,41.61714285714286
67,41.37
68,41.74285714285714
69,41.824285714285715
70,111.08428571428571
71,111.33714285714285
72,111.51285714285714
73,111.60285714285715
74,111.37857142857143
75,111.25428571428571
76,111.13
77,111.27714285714286
78,111.39428571428572
79,41.465714285714284
80,41.62714285714286
81,41.357142857142854
82,41.51571428571429
83,41.465714285714284
84,41.19571428571429
85,41.72142857142857
86,41.76714285714286
87,41.59428571428571
88,41.43714285714286
89,41.33857142857143
90,41.505714285714284
91,41.31142857142857
92,41.42285714285714
93,41.51
94,41.42
95,110.56142857142858
96,110.75571428571429
97,110.56428571428572
98,110.88571428571429
99,111.00285714285714
100,111.19285714285714
101,111.22142857142858
102,111.00142857142858
103,110.85428571428571
104,41.66571428571429
105,41.28285714285714
106,41.128571428571426
107,41.604285714285716
108,41.44571428571429
109,41.43571428571428
110,41.605714285714285
111,41.64
112,41.402857142857144
113,41.56428571428572
114,41.18571428571428
115,41.39
116,41.48
117,40.957142857142856
118,41.51571428571429
119,41.41428571428571
120,97.86
121,111.2
122,111.17285714285714
123,110.65142857142857
124,110.59
125,110.39
126,110.44714285714285
127,110.52857142857142
128,110.45714285714286
129,100.34142857142857
130,41.362857142857145
131,41.11571428571428
132,40.95142857142857
133,41.112857142857145
134,41.52285714285714
135,41.55142857142857
136,41.52428571428572
137,41.22142857142857
138,41.48285714285714
139,41.464285714285715
140,41.43142857142857
141,41.19285714285714
142,41.87
143,41.78857142857143
144,41.645714285714284
145,41.33428571428571
146,41.29
147,110.44428571428571
148,110.86857142857143
149,110.71857142857142
150,111.06142857142858
151,110.87857142857143
152,111.12285714285714
153,111.10714285714286
154,111.18428571428572
155,111.04
156,41.62428571428571
157,41.39714285714286
158,41.511428571428574
159,41.668571428571425
160,41.714285714285715
161,41.29714285714286
162,41.52857142857143
163,41.49285714285714
164,42.387142857142855
165,41.855714285714285
166,41.502857142857145
167,41.81428571428572
168,103.91714285714286
169,110.60142857142857
170,110.84857142857143
171,110.68
172,110.77
173,111.12142857142857
174,110.54428571428572
175,110.71142857142857
176,110.61142857142858
177,95.00714285714285
178,41.67142857142857
179,41.68571428571428
180,41.18
181,41.78142857142857
182,41.684285714285714
183,41.54714285714286
184,42.29
185,42.04857142857143
186,41.81428571428572
187,41.63142857142857
188,41.70285714285714
189,41.48285714285714
190,41.27428571428572
191,41.46857142857143
192,111.08714285714285
193,111.27428571428571
194,111.13285714285715
195,111.25428571428571
196,111.13714285714286
197,111.03714285714285
198,110.99142857142857
199,110.76714285714286
200,110.60714285714286
201,49.24857142857143
202,41.16
203,41.69428571428571
204,41.01857142857143
205,41.77142857142857
206,41.614285714285714
207,41.668571428571425
208,41.86857142857143
209,41.651428571428575
210,41.42285714285714
211,41.637142857142855
212,41.652857142857144
213,41.65714285714286
214,41.57714285714286
215,41.46714285714286
216,110.55714285714286
217,110.77714285714286
218,110.96142857142857
219,111.01142857142857
220,110.77
221,111.12428571428572
222,111.20857142857143
223,111.07428571428571
224,111.26428571428572
225,41.107142857142854
