Slice,Mean
1,128.5484375
2,127.6578125
3,126.66796875
4,124.275
5,121.91875
6,120.840625
7,119.03125
8,117.74375
9,116.2875
10,114.9453125
11,113.75859375
12,112.86015625
13,112.1984375
14,109.94375
15,109.0328125
16,109.19921875
17,118.45234375
18,118.30234375
19,117.78359375
20,116.73203125
21,116.19375
22,116.31171875
23,116.56171875
24,116.58828125
25,116.4375
26,106.328125
27,106.20625
28,105.96171875
29,106.49609375
30,106.4046875
31,106.84140625
32,106.5859375
33,106.09453125
34,106.77421875
35,106.58828125
36,106.3703125
37,106.1734375
38,106.35546875
39,105.9140625
40,105.66796875
41,105.9125
42,106.03828125
43,106.05859375
44,106.31015625
45,105.846875
46,115.76640625
47,116.0265625
48,116.16796875
49,115.88984375
50,115.87734375
51,116.00390625
52,116.0546875
53,115.96796875
54,116.14453125
55,106.37109375
56,105.69609375
57,105.77421875
58,105.8703125
59,106.04453125
60,106.2671875
61,106.33203125
62,106.4390625
63,106.16796875
64,106.35
65,106.2453125
66,106.38359375
67,106.18203125
68,106.18359375
69,106.096875
70,116.03203125
71,116.1578125
72,116.21015625
73,115.996875
74,116.18046875
75,116.2921875
76,116.3515625
77,116.08125
78,116.1375
79,106.66640625
80,106.578125
81,106.196875
82,106.328125
83,105.646875
84,106.16328125
85,105.83671875
86,105.87421875
87,106.309375
88,106.17421875
89,105.796875
90,106.10390625
91,105.96328125
92,106.39296875
93,106.65078125
94,106.38671875
95,116.35625
96,116.28203125
97,116.04296875
98,115.85625
99,116.06640625
100,116.2984375
101,115.95859375
102,115.81875
103,115.68671875
104,106.53359375
105,106.628125
106,106.23046875
107,106.33203125
108,106.4046875
109,106.75625
110,106.61328125
111,106.353125
112,106.59453125
113,106.45625
114,106.37890625
115,106.51484375
116,106.971875
117,106.35859375
118,106.50859375
119,106.6484375
120,109.74453125
121,116.51875
122,116.64375
123,116.475
124,116.53046875
125,116.51796875
126,116.50390625
127,116.38671875
128,116.39453125
129,115.94375
130,106.5328125
131,106.7328125
132,106.77890625
133,106.475
134,106.54296875
135,106.2671875
136,106.48203125
137,106.0609375
138,106.67890625
139,107.0046875
140,106.52421875
141,106.50078125
142,106.2921875
143,106.31796875
144,106.64453125
145,106.76875
146,106.7015625
147,116.2625
148,116.19296875
149,116.28046875
150,116.396875
151,116.47109375
152,116.2171875
153,115.90546875
154,115.7703125
155,115.5859375
156,107.06796875
157,106.48515625
158,106.52265625
159,106.26953125
160,106.5203125
161,106.1578125
162,106.18203125
163,106.20546875
164,106.8140625
165,106.3703125
166,106.51328125
167,106.17578125
168,111.0171875
169,116.79921875
170,116.48984375
171,116.23359375
172,116.509375
173,116.70625
174,116.85703125
175,116.28125
176,116.5140625
177,116.60078125
178,107.0171875
179,106.0015625
180,106.04140625
181,106.46875
182,106.46015625
183,106.7390625
184,106.98515625
185,106.48671875
186,106.609375
187,106.68359375
188,106.7171875
189,106.4984375
190,106.84921875
191,106.50234375
192,115.94921875
193,115.70546875
194,116.228125
195,116.425
196,116.2296875
197,116.540625
198,116.44296875
199,116.396875
200,116.50703125
201,112.41640625
202,107.040625
203,106.38515625
204,106.621875
205,106.66171875
206,107.08359375
207,106.4328125
208,106.31796875
209,105.7578125
210,106.04765625
211,106.403125
212,106.34921875
213,106.615625
214,106.53671875
215,107.0328125
216,116.2328125
217,116.23359375
218,116.53671875
219,116.6578125
220,116.728125
221,116.56484375
222,116.45
223,116.15703125
224,116.09765625
225,107.12890625
226,106.8390625
227,106.29765625
228,106.453125
229,106.775
230,106.896875
231,106.265625
232,105.87890625
233,105.8625
234,105.85859375
235,106.415625
236,115.6953125
237,116.12578125
238,116.48515625
239,116.20703125
240,116.13984375
241,116.0359375
242,116.18984375
243,115.8765625
244,116.17109375
245,106.5015625
246,106.4296875
247,106.44921875
248,106.425
249,106.0890625
250,105.8453125
251,106.2421875
252,106.33828125
253,106.1
254,106.04453125
255,105.9171875
256,106.215625
257,106.20859375
258,106.190625
259,106.03203125
260,106.28046875
261,106.34375
262,116.18515625
263,115.3953125
264,116.29765625
265,116.25390625
266,116.1796875
267,115.878125
268,116.18828125
269,115.934375
270,116.11875
271,106.99296875
272,106.903125
273,106.56484375
274,106.46328125
275,106.39921875
276,106.45078125
277,106.40859375
278,106.2890625
279,105.7578125
280,106.0953125
281,106.12578125
282,106.13125
283,106.12578125
284,106.37578125
285,106.1984375
286,106.23359375
287,115.83046875
288,116.44609375
289,116.43515625
290,116.428125
291,116.0703125
292,116.52734375
293,116.47109375
294,116.43125
295,116.0546875
296,106.4328125
297,106.078125
298,106.35390625
299,105.9703125
300,106.1265625
301,106.11015625
302,105.76953125
303,106.38671875
304,106.1
305,106.0
306,106.36875
307,106.71328125
308,106.365625
309,106.63828125
310,106.3296875
311,106.3875
312,106.3359375
313,116.36171875
314,116.49765625
315,116.2640625
316,116.45078125
317,116.38515625
318,116.3765625
319,116.03984375
320,116.31875
321,116.3984375
322,106.5046875
323,106.12421875
324,106.51953125
325,106.20625
326,106.67578125
327,106.43984375
328,106.0328125
329,106.51953125
330,106.828125
331,106.08828125
332,106.40234375
333,106.25625
334,106.4859375
335,106.07890625
336,106.51328125
337,116.03046875
338,116.284375
339,115.96328125
340,116.64453125
341,116.5484375
342,116.49453125
343,116.31796875
344,116.38828125
345,116.2296875
346,106.56796875
347,106.0453125
348,106.04765625
349,106.06484375
350,106.79609375
351,106.709375
352,106.46796875
353,106.32578125
354,106.31875
355,106.37109375
356,106.43828125
357,106.259375
358,106.38203125
359,106.27421875
360,106.56640625
361,106.97890625
362,106.86484375
363,106.11875
364,106.1875
365,106.48515625
366,115.9375
367,116.1265625
368,116.50390625
369,116.215625
370,116.20859375
371,116.1765625
372,116.3890625
373,116.1875
374,116.65703125
375,107.48203125
376,106.97734375
377,106.7765625
378,106.89609375
379,105.86484375
380,106.65390625
381,106.55234375
382,106.2578125
383,106.65625
384,106.809375
385,106.4515625
386,106.76015625
387,106.70390625
388,106.75703125
389,106.35703125
390,106.9359375
391,106.6140625
392,106.740625
393,106.57109375
394,106.121875
395,105.996875
396,116.425
397,116.1390625
398,116.56875
399,116.23125
400,116.36171875
401,116.5203125
402,116.65078125
403,116.0875
404,116.20078125
405,106.31484375
406,106.5609375
407,106.50859375
408,106.55390625
409,105.93984375
410,106.309375
411,105.7796875
412,106.27421875
413,106.30078125
414,106.225
415,105.83046875
416,105.84296875
417,106.05703125
418,116.26796875
419,115.965625
420,116.2625
421,116.06015625
422,116.18203125
423,116.20390625
424,116.25234375
425,116.04140625
426,116.36328125
427,106.928125
428,106.84375
429,106.7359375
430,106.803125
431,106.4546875
432,106.96171875
433,106.98828125
434,106.628125
435,106.5390625
436,106.675
437,106.6796875
438,116.96328125
439,116.32421875
440,117.0046875
441,116.94375
442,116.6546875
443,116.31328125
444,116.515625
445,116.6609375
446,116.4
447,106.940625
448,106.6390625
449,106.50078125
450,106.4109375
451,105.96015625
452,106.71796875
453,106.615625
454,107.01015625
455,106.54375
456,106.4546875
457,106.39765625
458,106.3875
459,106.3953125
460,105.88203125
461,105.99140625
462,106.22734375
463,105.9734375
464,106.509375
465,106.5390625
466,106.48046875
467,106.46328125
468,115.85234375
469,115.75625
470,116.05546875
471,115.82421875
472,116.05546875
473,116.33515625
474,116.33046875
475,115.93984375
476,116.1703125
477,106.7515625
478,106.75234375
479,107.09609375
480,106.66328125
481,106.65390625
482,107.0890625
483,107.11328125
484,106.61640625
485,106.4359375
486,106.67421875
487,106.5828125
488,106.70703125
489,106.8125
490,106.8265625
491,106.93671875
492,106.61015625
493,116.72890625
494,116.44765625
495,116.4453125
496,116.82109375
497,116.61484375
498,116.9
499,116.2390625
500,116.578125
501,116.16171875
502,106.796875
503,106.371875
504,105.76953125
505,105.96796875
506,106.07734375
507,106.11484375
508,106.22578125
509,106.2328125
510,106.06796875
511,106.29453125
512,106.49375
