index, frame_type, GPU Time, time.time()
0,2,-1000,1740586840.147402
1,1,-1000,1740586840.282717
2,0,24882,1740586840.305589
3,0,49736,1740586840.331465
4,0,74604,1740586840.356386
5,0,99472,1740586840.381455
6,0,124343,1740586840.408808
7,0,149208,1740586840.433310
8,0,174076,1740586840.461597
9,0,198945,1740586840.483881
10,0,223812,1740586840.510852
11,0,248681,1740586840.535661
12,0,273549,1740586840.560295
13,0,298415,1740586840.585947
14,0,323284,1740586840.610596
15,0,348152,1740586840.635523
16,0,373022,1740586840.665002
17,0,397888,1740586840.686978
18,0,422756,1740586840.711448
19,0,447624,1740586840.733222
20,0,472492,1740586840.758480
21,0,497359,1740586840.782912
22,0,522230,1740586840.808194
23,0,547095,1740586840.833627
24,0,571963,1740586840.856575
25,0,596832,1740586840.882160
26,0,621702,1740586840.907235
27,0,646567,1740586840.931587
28,0,671435,1740586840.957840
29,0,696303,1740586840.980628
30,0,721171,1740586841.006965
31,0,746039,1740586841.032532
32,0,770907,1740586841.054974
33,0,795775,1740586841.081743
34,0,820643,1740586841.105583
35,0,845512,1740586841.131412
36,0,870379,1740586841.155022
37,0,895247,1740586841.181567
38,0,920117,1740586841.206280
39,0,944983,1740586841.229437
40,0,969851,1740586841.256055
41,0,994719,1740586841.280379
42,0,1019587,1740586841.304094
43,0,1044456,1740586841.329725
44,0,1069323,1740586841.354696
45,0,1094191,1740586841.378558
46,0,1119059,1740586841.403778
47,0,1143927,1740586841.432678
48,0,1168800,1740586841.455114
49,0,1193663,1740586841.480509
50,0,1218531,1740586841.503552
51,0,1243400,1740586841.530471
52,0,1268267,1740586841.552549
53,0,1293135,1740586841.579264
54,0,1318004,1740586841.602586
55,0,1342871,1740586841.628204
56,0,1367739,1740586841.653238
57,0,1392608,1740586841.678609
58,0,1417474,1740586841.703460
59,0,1442343,1740586841.727087
60,0,1467210,1740586841.753760
61,2,-1000,1740586841.773491
62,1,1492079,1740586841.783600
63,0,1516947,1740586841.803776
64,0,1541815,1740586841.825748
65,0,1566685,1740586841.851190
66,0,1591551,1740586841.876071
67,0,1616419,1740586841.903053
68,0,1641289,1740586841.925682
69,0,1666155,1740586841.951409
70,0,1691023,1740586841.976506
71,0,1715891,1740586842.001280
72,0,1740758,1740586842.027060
73,0,1765627,1740586842.052693
74,0,1790495,1740586842.077022
75,0,1815363,1740586842.102643
76,0,1840230,1740586842.124824
77,0,1865098,1740586842.152585
78,0,1889967,1740586842.176252
79,0,1914834,1740586842.200348
80,0,1939702,1740586842.225685
81,0,1964571,1740586842.249908
82,0,1989438,1740586842.277247
83,0,2014307,1740586842.299441
84,0,2039176,1740586842.325414
85,0,2064043,1740586842.354361
86,0,2088910,1740586842.375395
87,0,2113778,1740586842.404489
88,0,2138648,1740586842.423510
89,0,2163514,1740586842.454057
90,0,2188383,1740586842.473355
91,0,2213250,1740586842.505073
92,0,2238118,1740586842.523834
93,0,2262986,1740586842.552609
94,0,2287855,1740586842.571712
95,0,2312722,1740586842.605134
96,0,2337590,1740586842.622133
97,0,2362459,1740586842.653963
98,0,2387326,1740586842.673285
99,0,2412194,1740586842.697127
100,0,2437063,1740586842.722290
101,0,2461929,1740586842.746505
102,0,2486798,1740586842.774493
103,0,2511666,1740586842.798200
104,0,2536534,1740586842.820513
105,0,2561402,1740586842.847787
106,0,2586270,1740586842.870279
107,0,2611138,1740586842.898376
108,0,2636006,1740586842.921288
109,0,2660874,1740586842.947072
110,0,2685744,1740586842.969980
111,0,2710610,1740586842.997885
112,0,2735495,1740586843.022463
113,0,2760347,1740586843.046201
114,0,2785214,1740586843.070438
115,0,2810083,1740586843.096281
116,0,2834950,1740586843.120620
117,0,2859817,1740586843.147516
118,0,2884686,1740586843.170462
119,0,2909553,1740586843.195647
120,0,2934421,1740586843.219645
121,0,2959289,1740586843.245192
122,2,-1000,1740586843.266518
123,1,2984158,1740586843.276381
124,0,3009026,1740586843.296534
125,0,3033893,1740586843.318297
126,0,3058761,1740586843.343474
127,0,3083629,1740586843.367984
128,0,3108497,1740586843.395388
129,0,3133365,1740586843.417762
130,0,3158235,1740586843.443199
131,0,3183101,1740586843.467400
132,0,3207969,1740586843.492018
133,0,3232837,1740586843.520289
134,0,3257705,1740586843.542525
135,0,3282575,1740586843.568207
136,0,3307442,1740586843.591959
137,0,3332309,1740586843.617421
138,0,3357177,1740586843.644654
139,0,3382045,1740586843.666362
140,0,3406915,1740586843.692520
141,0,3431781,1740586843.717619
142,0,3456649,1740586843.743361
143,0,3481518,1740586843.767154
144,0,3506385,1740586843.792010
145,0,3531253,1740586843.815766
146,0,3556123,1740586843.841745
147,0,3580989,1740586843.865658
148,0,3605857,1740586843.893701
149,0,3630725,1740586843.915382
150,0,3655593,1740586843.941108
151,0,3680461,1740586843.964910
152,0,3705329,1740586843.991507
153,0,3730198,1740586844.016948
154,0,3755065,1740586844.039226
155,0,3779933,1740586844.065552
156,0,3804803,1740586844.090184
157,0,3829669,1740586844.116168
158,0,3854536,1740586844.140480
159,0,3879406,1740586844.164885
160,0,3904275,1740586844.190383
161,0,3929141,1740586844.215776
162,0,3954009,1740586844.239761
163,0,3978877,1740586844.265655
164,0,4003745,1740586844.288770
165,0,4028612,1740586844.313385
166,0,4053480,1740586844.338461
167,0,4078348,1740586844.363023
168,0,4103218,1740586844.390377
169,0,4128086,1740586844.413105
170,0,4152952,1740586844.438080
171,0,4177820,1740586844.462304
172,0,4202691,1740586844.487564
173,0,4227556,1740586844.515280
174,0,4252425,1740586844.536414
175,0,4277292,1740586844.563833
176,0,4302160,1740586844.586386
177,0,4327028,1740586844.614076
178,0,4351896,1740586844.638140
179,0,4376765,1740586844.662118
180,0,4401632,1740586844.685814
181,0,4426500,1740586844.714014
182,0,4451369,1740586844.735612
183,2,-1000,1740586844.758409
184,1,4476236,1740586844.768376
185,0,4501105,1740586844.787521
186,0,4525974,1740586844.812668
187,0,4550840,1740586844.835585
188,0,4575718,1740586844.860277
189,0,4600575,1740586844.887372
190,0,4625444,1740586844.910269
191,0,4650323,1740586844.934639
192,0,4675181,1740586844.960336
193,0,4700048,1740586844.984195
194,0,4724916,1740586845.013217
195,0,4749784,1740586845.035374
196,0,4774652,1740586845.059062
197,0,4799520,1740586845.084943
198,0,4824388,1740586845.108598
199,0,4849257,1740586845.136069
200,0,4874124,1740586845.160014
201,0,4898992,1740586845.184557
202,0,4923862,1740586845.210859
203,0,4948727,1740586845.232952
204,0,4973595,1740586845.260734
205,0,4998464,1740586845.284448
206,0,5023331,1740586845.310531
207,0,5048200,1740586845.332362
208,0,5073068,1740586845.357923
209,0,5097935,1740586845.384721
210,0,5122804,1740586845.407637
211,0,5147671,1740586845.431783
212,0,5172539,1740586845.458875
213,0,5197407,1740586845.482173
214,0,5222276,1740586845.509727
215,0,5247145,1740586845.533973
216,0,5272011,1740586845.556392
217,0,5296879,1740586845.581362
218,0,5321749,1740586845.609376
219,0,5346615,1740586845.635623
220,0,5371484,1740586845.656972
221,0,5396351,1740586845.683278
222,0,5421219,1740586845.705420
223,0,5446087,1740586845.732652
224,0,5470956,1740586845.758787
225,0,5495823,1740586845.779790
226,0,5520691,1740586845.804981
227,0,5545559,1740586845.831652
228,0,5570429,1740586845.856353
229,0,5595295,1740586845.881345
230,0,5620163,1740586845.905839
231,0,5645032,1740586845.930225
232,0,5669898,1740586845.956705
233,0,5694767,1740586845.981872
234,0,5719637,1740586846.005907
235,0,5744503,1740586846.031882
236,0,5769371,1740586846.054251
237,0,5794239,1740586846.080745
238,0,5819107,1740586846.102855
239,0,5843974,1740586846.133035
240,0,5868843,1740586846.153193
241,0,5893710,1740586846.180674
242,0,5918578,1740586846.202588
243,0,5943446,1740586846.230327
244,2,-1000,1740586846.250464
245,1,5968316,1740586846.261412
245,1,-1000,1740586846.263458
246,0,5993183,1740586846.283589
247,0,6018050,1740586846.303069
248,0,6042920,1740586846.327241
249,0,6067786,1740586846.351506
250,0,6092654,1740586846.379239
251,0,6117523,1740586846.402699
252,0,6142392,1740586846.426437
253,0,6167258,1740586846.451132
254,0,6192126,1740586846.476375
255,0,6216994,1740586846.502512
256,0,6241863,1740586846.525904
257,0,6266730,1740586846.551080
258,0,6291598,1740586846.576288
259,0,6316467,1740586846.601468
260,0,6341334,1740586846.627640
261,0,6366204,1740586846.652288
262,0,6391070,1740586846.677142
263,0,6415938,1740586846.699960
264,0,6440808,1740586846.727662
265,0,6465680,1740586846.751689
266,0,6490542,1740586846.778751
267,0,6515411,1740586846.799833
268,0,6540278,1740586846.827097
269,0,6565146,1740586846.851710
270,0,6590014,1740586846.877059
271,0,6614884,1740586846.900836
272,0,6639750,1740586846.923741
273,0,6664618,1740586846.951352
274,0,6689488,1740586846.974469
275,0,6714354,1740586847.001854
276,0,6739222,1740586847.024296
277,0,6764092,1740586847.050051
278,0,6788958,1740586847.073603
279,0,6813826,1740586847.099652
280,0,6838696,1740586847.126461
281,0,6863563,1740586847.148475
282,0,6888429,1740586847.173941
283,0,6913298,1740586847.199221
284,0,6938166,1740586847.223898
285,0,6963034,1740586847.250430
286,0,6987903,1740586847.275219
287,0,7012770,1740586847.299031
288,0,7037637,1740586847.322156
289,0,7062505,1740586847.349511
290,0,7087376,1740586847.374067
291,0,7112242,1740586847.398915
292,0,7137110,1740586847.421514
293,0,7161979,1740586847.447368
294,0,7186845,1740586847.473535
295,0,7211714,1740586847.499115
296,0,7236584,1740586847.522302
297,0,7261449,1740586847.547087
298,0,7286333,1740586847.572465
299,0,7311185,1740586847.595739
300,0,7336053,1740586847.622828
301,0,7360922,1740586847.646047
302,0,7385789,1740586847.671616
303,0,7410658,1740586847.697628
304,0,7435525,1740586847.719368
305,2,-1000,1740586847.742606
306,1,7460393,1740586847.752675
307,0,7485264,1740586847.772021
308,0,7510131,1740586847.796696
309,0,7534997,1740586847.819374
310,0,7559866,1740586847.845892
311,0,7584733,1740586847.871602
312,0,7609601,1740586847.894312
313,0,7634469,1740586847.919644
314,0,7659337,1740586847.944951
315,0,7684207,1740586847.969292
316,0,7709073,1740586847.997577
317,0,7733941,1740586848.018781
318,0,7758809,1740586848.045829
319,0,7783676,1740586848.068671
320,0,7808546,1740586848.095603
321,0,7833413,1740586848.120525
322,0,7858281,1740586848.144603
323,0,7883148,1740586848.169070
324,0,7908017,1740586848.192554
325,0,7932885,1740586848.219042
326,0,7957754,1740586848.245279
327,0,7982621,1740586848.266933
328,0,8007488,1740586848.295106
329,0,8032357,1740586848.319280
330,0,8057224,1740586848.341818
331,0,8082093,1740586848.369829
332,0,8106961,1740586848.393575
333,0,8131828,1740586848.417001
334,0,8156696,1740586848.443770
335,0,8181566,1740586848.466604
336,0,8206436,1740586848.494422
337,0,8231300,1740586848.516371
338,0,8256169,1740586848.542619
339,0,8281037,1740586848.567393
340,0,8305904,1740586848.591780
341,0,8330773,1740586848.617998
342,0,8355645,1740586848.640119
343,0,8380508,1740586848.667242
344,0,8405376,1740586848.691228
345,0,8430244,1740586848.716828
346,0,8455112,1740586848.740775
347,0,8479981,1740586848.766024
348,0,8504849,1740586848.788691
349,0,8529717,1740586848.816665
350,0,8554584,1740586848.838804
351,0,8579452,1740586848.870585
352,0,8604323,1740586848.889080
353,0,8629188,1740586848.915504
354,0,8654056,1740586848.939591
355,0,8678924,1740586848.964336
356,0,8703792,1740586848.989958
357,0,8728671,1740586849.012609
358,0,8753528,1740586849.038482
359,0,8778396,1740586849.062253
360,0,8803264,1740586849.090511
361,0,8828132,1740586849.113628
362,0,8853001,1740586849.137825
363,0,8877868,1740586849.161974
364,0,8902735,1740586849.186355
365,0,8927605,1740586849.214188
366,2,-1000,1740586849.233261
367,1,8952472,1740586849.243037
368,0,8977339,1740586849.263978
369,0,9002209,1740586849.286131
370,0,9027076,1740586849.312368
371,0,9051944,1740586849.336139
372,0,9076811,1740586849.361482
373,0,9101679,1740586849.386162
374,0,9126558,1740586849.410316
375,0,9151415,1740586849.436131
376,0,9176284,1740586849.460054
377,0,9201151,1740586849.485868
378,0,9226019,1740586849.512043
379,0,9250888,1740586849.535979
380,0,9275755,1740586849.561299
381,0,9300623,1740586849.585267
382,0,9325492,1740586849.610353
383,0,9350359,1740586849.637443
384,0,9375227,1740586849.659847
385,0,9400095,1740586849.683880
386,0,9424963,1740586849.710311
387,0,9449837,1740586849.735519
388,0,9474699,1740586849.761430
389,0,9499568,1740586849.783299
390,0,9524435,1740586849.810932
391,0,9549303,1740586849.833153
392,0,9574171,1740586849.861890
393,0,9599042,1740586849.883012
394,0,9623907,1740586849.908320
395,0,9648776,1740586849.935166
396,0,9673643,1740586849.957375
397,0,9698511,1740586849.987048
398,0,9723382,1740586850.008267
399,0,9748247,1740586850.032637
400,0,9773115,1740586850.057243
401,0,9797983,1740586850.082637
402,0,9822850,1740586850.109451
403,0,9847719,1740586850.131371
404,0,9872587,1740586850.156768
405,0,9897454,1740586850.183150
406,0,9922323,1740586850.206440
407,0,9947190,1740586850.233779
408,0,9972059,1740586850.255720
409,0,9996926,1740586850.282808
410,0,10021794,1740586850.306261
411,0,10046664,1740586850.330941
412,0,10071530,1740586850.356314
413,0,10096399,1740586850.381230
414,0,10121268,1740586850.406601
415,0,10146134,1740586850.431981
416,0,10171002,1740586850.455391
417,0,10195870,1740586850.481035
418,0,10220738,1740586850.505058
419,0,10245606,1740586850.531252
420,0,10270474,1740586850.554278
421,0,10295342,1740586850.580067
422,0,10320210,1740586850.606316
423,0,10345079,1740586850.629275
424,0,10369948,1740586850.654064
425,0,10394817,1740586850.680691
426,0,10419682,1740586850.703252
427,2,-1000,1740586850.726411
428,1,10444551,1740586850.738678
428,1,-1000,1740586850.740326
429,0,10469418,1740586850.756497
430,0,10494286,1740586850.781610
431,0,10519156,1740586850.802941
432,0,10544022,1740586850.827728
433,0,10568890,1740586850.855509
434,0,10593758,1740586850.877414
435,0,10618626,1740586850.902491
436,0,10643494,1740586850.927405
437,0,10668362,1740586850.952442
438,0,10693229,1740586850.980180
439,0,10718098,1740586851.001664
440,0,10742966,1740586851.026792
441,0,10767835,1740586851.051619
442,0,10792701,1740586851.077943
443,0,10817570,1740586851.104481
444,0,10842439,1740586851.126048
445,0,10867305,1740586851.151871
446,0,10892173,1740586851.176265
447,0,10917041,1740586851.203671
448,0,10941910,1740586851.226837
449,0,10966777,1740586851.250908
450,0,10991646,1740586851.275959
451,0,11016513,1740586851.300726
452,0,11041381,1740586851.326542
453,0,11066250,1740586851.352655
454,0,11091119,1740586851.375370
455,0,11115988,1740586851.403420
456,0,11140853,1740586851.427454
457,0,11165724,1740586851.450468
458,0,11190589,1740586851.478274
459,0,11215457,1740586851.500428
460,0,11240326,1740586851.526970
461,0,11265193,1740586851.548935
462,0,11290061,1740586851.575265
463,0,11314929,1740586851.599287
464,0,11339797,1740586851.624681
465,0,11364666,1740586851.649888
466,0,11389533,1740586851.673087
467,0,11414401,1740586851.700192
468,0,11439269,1740586851.723895
469,0,11464137,1740586851.750154
470,0,11489009,1740586851.772847
471,0,11513873,1740586851.798293
472,0,11538741,1740586851.824569
473,0,11563611,1740586851.849699
474,0,11588477,1740586851.873104
475,0,11613345,1740586851.897016
476,0,11638214,1740586851.922019
477,0,11663081,1740586851.949750
478,0,11687949,1740586851.973890
479,0,11712816,1740586851.997920
480,0,11737684,1740586852.021973
481,0,11762552,1740586852.046911
482,0,11787422,1740586852.072541
483,0,11812289,1740586852.097955
484,0,11837175,1740586852.122913
485,0,11862025,1740586852.145797
486,0,11886894,1740586852.172821
487,0,11911762,1740586852.195856
488,2,-1000,1740586852.217117
489,1,11936629,1740586852.229562
490,0,11961497,1740586852.251450
491,0,11986364,1740586852.270427
492,0,12011232,1740586852.295032
493,0,12036102,1740586852.319964
494,0,12060969,1740586852.345839
495,0,12085836,1740586852.370395
496,0,12110705,1740586852.394550
497,0,12135572,1740586852.419489
498,0,12160440,1740586852.444483
499,0,12185309,1740586852.472635
500,0,12210178,1740586852.496920
501,0,12235044,1740586852.518792
502,0,12259912,1740586852.544840
503,0,12284782,1740586852.569270
504,0,12309648,1740586852.597263
505,0,12334522,1740586852.619295
506,0,12359384,1740586852.644164
507,0,12384252,1740586852.668638
508,0,12409120,1740586852.694914
509,0,12433988,1740586852.720643
510,0,12458858,1740586852.744649
511,0,12483724,1740586852.767299
512,0,12508592,1740586852.796570
513,0,12533460,1740586852.818290
514,0,12558328,1740586852.844219
515,0,12583196,1740586852.867831
516,0,12608065,1740586852.892339
517,0,12632932,1740586852.918943
518,0,12657800,1740586852.941490
519,0,12682669,1740586852.969409
520,0,12707536,1740586852.991252
521,0,12732406,1740586853.018064
522,0,12757272,1740586853.043812
523,0,12782139,1740586853.065912
524,0,12807008,1740586853.092143
525,0,12831876,1740586853.116389
526,0,12856744,1740586853.142466
527,0,12881612,1740586853.165643
528,0,12906480,1740586853.190630
529,0,12931347,1740586853.217227
530,0,12956215,1740586853.240525
531,0,12981083,1740586853.266538
532,0,13005954,1740586853.291735
533,0,13030819,1740586853.315341
534,0,13055688,1740586853.341119
535,0,13080556,1740586853.365252
536,0,13105425,1740586853.389395
537,0,13130291,1740586853.415996
538,0,13155160,1740586853.438767
539,0,13180027,1740586853.466617
540,0,13204895,1740586853.488620
541,0,13229763,1740586853.515970
542,0,13254631,1740586853.540320
543,0,13279499,1740586853.563248
544,0,13304367,1740586853.590458
545,0,13329236,1740586853.613605
546,0,13354103,1740586853.639342
547,0,13378971,1740586853.664456
548,0,13403842,1740586853.687474
549,2,-1000,1740586853.712512
550,1,13428707,1740586853.720777
551,0,13453575,1740586853.739299
552,0,13478443,1740586853.763160
553,0,13503313,1740586853.786955
554,0,13528179,1740586853.811910
555,0,13553047,1740586853.839448
556,0,13577915,1740586853.861785
557,0,13602783,1740586853.887121
558,0,13627651,1740586853.911489
559,0,13652519,1740586853.936867
560,0,13677387,1740586853.964556
561,0,13702255,1740586853.986696
562,0,13727124,1740586854.011282
563,0,13751992,1740586854.038063
564,0,13776864,1740586854.060546
565,0,13801728,1740586854.088392
566,0,13826595,1740586854.110538
567,0,13851462,1740586854.138783
568,0,13876332,1740586854.160120
569,0,13901198,1740586854.185447
570,0,13926066,1740586854.212990
571,0,13950935,1740586854.234592
572,0,13975802,1740586854.259876
573,0,14000670,1740586854.285308
574,0,14025538,1740586854.309388
575,0,14050407,1740586854.337394
576,0,14075274,1740586854.360105
577,0,14100142,1740586854.383828
578,0,14125013,1740586854.410283
579,0,14149878,1740586854.433352
580,0,14174746,1740586854.464444
581,0,14199614,1740586854.483266
582,0,14224482,1740586854.509056
583,0,14249351,1740586854.533086
584,0,14274218,1740586854.559103
585,0,14299086,1740586854.586457
586,0,14323954,1740586854.607560
