index, frame_type, GPU Time, time.time()
113,0,2760360,1740586843.046307
114,0,2785230,1740586843.071152
115,0,2810096,1740586843.094325
116,0,2834964,1740586843.121409
117,0,2859832,1740586843.146237
118,0,2884702,1740586843.170048
119,0,2909569,1740586843.193352
120,0,2934437,1740586843.220749
121,0,2959306,1740586843.244486
122,2,-1000,1740586843.266171
123,1,2984173,1740586843.279906
123,1,-1000,1740586843.282166
124,0,3009041,1740586843.297832
125,0,3033910,1740586843.320487
126,0,3058778,1740586843.343870
127,0,3083645,1740586843.367488
128,0,3108513,1740586843.394199
129,0,3133384,1740586843.417491
130,0,3158250,1740586843.442679
131,0,3183118,1740586843.467665
132,0,3207988,1740586843.491977
133,0,3232854,1740586843.519613
134,0,3257722,1740586843.541774
135,0,3282609,1740586843.569003
136,0,3307458,1740586843.592448
137,0,3332327,1740586843.617693
138,0,3357195,1740586843.644568
139,0,3382063,1740586843.665847
140,0,3406931,1740586843.693053
141,0,3431799,1740586843.715735
142,0,3456668,1740586843.743165
143,0,3481535,1740586843.769278
144,0,3506403,1740586843.791810
145,0,3531274,1740586843.816655
146,0,3556140,1740586843.840343
147,0,3581008,1740586843.865753
148,0,3605876,1740586843.894566
149,0,3630744,1740586843.915279
150,0,3655612,1740586843.941962
151,0,3680480,1740586843.966614
152,0,3705352,1740586843.990810
153,0,3730216,1740586844.017200
154,0,3755085,1740586844.041076
155,0,3779956,1740586844.065895
156,0,3804821,1740586844.089332
157,0,3829690,1740586844.116879
158,0,3854557,1740586844.142183
159,0,3879425,1740586844.163701
160,0,3904293,1740586844.190700
161,0,3929162,1740586844.215394
162,0,3954030,1740586844.238973
163,0,3978898,1740586844.265611
164,0,4003766,1740586844.287502
165,0,4028635,1740586844.313757
166,0,4053502,1740586844.340790
167,0,4078370,1740586844.365375
168,0,4103239,1740586844.390926
169,0,4128106,1740586844.414521
170,0,4152975,1740586844.436889
171,0,4177842,1740586844.464128
172,0,4202711,1740586844.487123
173,0,4227578,1740586844.515125
174,0,4252447,1740586844.539442
175,0,4277315,1740586844.563673
176,0,4302184,1740586844.588674
177,0,4327064,1740586844.611041
178,0,4351922,1740586844.639898
179,0,4376788,1740586844.661017
180,0,4401656,1740586844.687765
181,0,4426524,1740586844.710957
182,0,4451392,1740586844.737125
183,2,-1000,1740586844.761671
184,1,4476260,1740586844.775152
184,1,-1000,1740586844.777952
185,0,4501130,1740586844.789609
186,0,4525997,1740586844.811706
187,0,4550864,1740586844.835242
188,0,4575732,1740586844.859861
189,0,4600603,1740586844.886110
190,0,4625470,1740586844.909343
191,0,4650337,1740586844.935642
192,0,4675206,1740586844.959289
193,0,4700073,1740586844.984969
194,0,4724941,1740586845.011242
195,0,4749810,1740586845.034174
196,0,4774678,1740586845.060733
197,0,4799547,1740586845.085230
198,0,4824413,1740586845.110116
199,0,4849284,1740586845.136254
200,0,4874150,1740586845.160615
201,0,4899019,1740586845.183201
202,0,4923888,1740586845.209054
203,0,4948754,1740586845.235675
204,0,4973622,1740586845.259628
205,0,4998492,1740586845.285194
206,0,5023358,1740586845.311292
207,0,5048227,1740586845.332420
208,0,5073094,1740586845.359493
209,0,5097963,1740586845.383889
210,0,5122844,1740586845.408051
211,0,5147699,1740586845.433206
212,0,5172569,1740586845.459069
213,0,5197436,1740586845.483246
214,0,5222303,1740586845.510370
215,0,5247174,1740586845.530956
216,0,5272040,1740586845.561058
217,0,5296908,1740586845.580950
218,0,5321776,1740586845.608612
219,0,5346644,1740586845.634110
220,0,5371513,1740586845.656466
221,0,5396381,1740586845.683712
222,0,5421250,1740586845.706737
223,0,5446117,1740586845.732028
224,0,5470985,1740586845.758246
225,0,5495857,1740586845.782277
226,0,5520721,1740586845.805364
227,0,5545596,1740586845.831536
